Rk,Name,YoB,Votes,Pvote,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,Gp,GS,SV,IP,Hp,HRp,BBp,SO,PosSummary,Year
1,y Johnny Bench,1st,431,0.964,214,45,17,75.2,47.2,61.2,44.7,2158,7658,1091,2048,389,1376,68,891,0.267,0.342,0.476,0.817,126,,,,,,,,,,,,,,*25379/8,1989
2,y Carl Yastrzemski,1st,423,0.946,215,60,23,96.4,55.5,75.9,53.6,3308,11988,1816,3419,452,1844,168,1845,0.285,0.379,0.462,0.841,130,,,,,,,,,,,,,,*7*3*D85/9,1989
3,y Gaylord Perry HOF,1st,304,0.68,177,57,22,90,52.3,71.1,61.5,512,1076,48,141,6,47,0,22,0.131,0.153,0.164,0.316,-10,314,265,3.11,117,1.181,777,690,10,5350,4938,399,1379,3534,*1,1989
4,y Jim Bunning HOF,13th,283,0.633,98,42,17,59.4,48.9,54.1,61.5,601,1275,82,213,7,75,0,34,0.167,0.188,0.206,0.395,9,224,184,3.27,115,1.179,591,519,16,3760.1,3433,372,1000,2855,*1,1989
5,y Fergie Jenkins HOF,1st,234,0.523,132,53,19,84.1,51.4,67.8,61.5,413,896,54,148,13,85,0,41,0.165,0.2,0.252,0.452,23,284,226,3.34,115,1.142,664,594,7,4500.2,4142,484,997,3192,*1,1989
6,y Orlando Cepeda HOF,10th,176,0.394,126,37,17,50.2,34.6,42.4,54.8,2124,7927,1131,2351,379,1365,142,588,0.297,0.35,0.499,0.849,133,,,,,,,,,,,,,,*37D/95,1989
7,y Tony Oliva,8th,135,0.302,114,29,15,43.1,38.6,40.8,56.8,1676,6301,870,1917,220,947,86,448,0.304,0.353,0.476,0.83,131,,,,,,,,,,,,,,*9*D8/7,1989
8,y Bill Mazeroski HOF,12th,134,0.3,71,16,17,36.5,26,31.2,56.9,2163,7755,769,2016,138,853,27,447,0.26,0.299,0.367,0.667,84,,,,,,,,,,,,,,*4/5,1989
9,y Harvey Kuenn,13th,115,0.257,100,27,15,26,22.1,24,55,1833,6913,950,2092,87,671,68,594,0.303,0.357,0.408,0.765,108,,,,,,,,,,,,,,*6*7*9853,1989
10,y Maury Wills,12th,95,0.213,104,30,14,39.7,29.6,34.7,55,1942,7588,1067,2134,20,458,586,552,0.281,0.33,0.331,0.661,88,,,,,,,,,,,,,,*6*5/4,1989
11,y Jim Kaat,1st,87,0.195,130,44,25,50.4,38.1,44.3,61.5,840,1251,117,232,16,106,5,63,0.185,0.227,0.267,0.494,37,283,237,3.45,108,1.259,898,625,17,4530.1,4620,395,1083,2461,*1/D,1989
12,y Ron Santo HOF,6th,75,0.168,88,41,15,70.5,53.8,62.2,55.7,2243,8143,1138,2254,342,1331,35,1108,0.277,0.362,0.464,0.826,125,,,,,,,,,,,,,,*5D4/673,1989
13,y Ken Boyer,10th,62,0.139,87,36,15,62.8,46.3,54.6,55.7,2034,7455,1104,2143,282,1141,105,713,0.287,0.349,0.462,0.81,116,,,,,,,,,,,,,,*5836,1989
14,y Minnie Minoso,5th,59,0.132,87,35,17,50.5,39.9,45.2,53.6,1835,6579,1136,1963,186,1023,205,814,0.298,0.389,0.459,0.848,130,,,,,,,,,,,,,,*7598/3D6,1989
15,y Roy Face,14th,47,0.105,47,11,16,20.5,17.9,19.2,32.5,853,194,9,31,0,7,0,2,0.16,0.168,0.175,0.344,-6,104,95,3.48,109,1.243,848,27,191,1375,1347,141,362,877,*1,1989
16,y Luis Tiant,2nd,47,0.105,97,41,19,66,44.1,55.1,61.5,305,513,36,84,5,44,1,13,0.164,0.185,0.224,0.409,17,229,172,3.3,114,1.199,573,484,15,3486.1,3075,346,1104,2416,*1,1989
17,y Mickey Lolich,5th,47,0.105,99,37,16,48,37.8,42.9,61.5,477,821,63,90,0,31,1,105,0.11,0.215,0.121,0.335,-2,217,191,3.44,104,1.227,586,496,10,3638.1,3366,347,1099,2832,*1,1989
18,y Joe Torre HOF,7th,40,0.089,96,40,18,57.6,37.2,47.4,54.8,2209,7874,996,2342,252,1185,23,779,0.297,0.365,0.452,0.817,129,,,,,,,,,,,,,,*2*3*5/7,1989
